ID,英文名稱,中文名稱,圖片,化學式,更新日期
358686,cacodyl,卡可基；二甲胂基,,(CH<sub>3</sub>)<sub>2</sub>As－,2012-11-26
358687,butyryl,丁醯基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
358688,butylidyne,次丁基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub>C≣,2012-11-26
358689,sec-butylidene,二级-亚丁基,,CH<sub>3</sub>CH<sub>2</sub>C(CH<sub>3</sub>)=,2021-09-28
358690,butylidene,亚丁基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH=,2012-11-26
358691,"1,4-butylene","1,4-伸丁基",,－CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358692,tert-butyl,三级-丁基,,(CH<sub>3</sub>)<sub>3</sub>C－,2021-09-28
358693,sec-butyl,二级-丁基,,C<sub>2</sub>H<sub>5</sub>CH(CH<sub>3</sub>)－,2021-09-28
358694,butyl,丁基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358695,tert-butoxy,三级-丁氧基,,(CH<sub>3</sub>)<sub>3</sub>CO－,2021-09-28
358696,sec-butoxy,二级-丁氧基,,C<sub>2</sub>H<sub>5</sub>CH(CH<sub>3</sub>)O－,2021-09-28
358697,butoxy,丁氧基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>O－,2012-11-26
358698,2-butenylidyne,2-次丁烯基,,CH<sub>3</sub>CH=CHC≣,2012-11-26
358699,2-butenylidene,2-亚丁烯基,,CH<sub>3</sub>CH=CHCH=,2012-11-26
358700,2-butenylene,2-伸丁烯基,,－CH<sub>2</sub>CH=CHCH<sub>2</sub>－,2012-11-26
358701,3-butenyl,3-丁烯基,,CH<sub>2</sub>=CHCH<sub>2</sub>CH<sub>2</sub>－,2012-11-26
358702,2-butenyl ,2-丁烯基,,CH<sub>3</sub>CH=CHCH<sub>2</sub>－,2012-11-26
358703,1-butenyl,1-丁烯基,,CH<sub>3</sub>CH<sub>2</sub>CH=CH－,2012-11-26
358704,butanoyl,丁醯基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CO－,2012-11-26
358705,butanediylidyne,"1,4-丁二次基",,≣C－CH<sub>2</sub>CH<sub>2</sub>－C≣,2012-11-26
358706,butanediylidene,"1,4-丁二亚基",,=CH－CH<sub>2</sub>CH<sub>2</sub>－CH=,2012-11-26
358707,butadienyl,丁二烯基,,C<sub>4</sub>H<sub>5</sub>－,2012-11-26
358708,"1,3-butadienyl","1,3-丁二烯基",,CH<sub>2</sub>=CHCH=CH－,2012-11-26
358709,bromonio,氢溴基,,HBr<sup>+</sup>－,2012-11-26
358710,bromoformyl,溴甲醯基,,BrCO－,2012-11-26
358711,bromo,溴基,,Br－,2012-11-26
358712,boryl,氧硼基,,OB－,2012-11-26
358713,bornyl,【草伯】基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
358714,biphenylyloxy,联苯氧基,,C<sub>6</sub>H<sub>5</sub>C<sub>6</sub>H<sub>4</sub>O－,2012-11-26
358715,biphenylylcarbonyl,联苯羰基,,C<sub>6</sub>H<sub>5</sub>C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
358716,biphenylyl,联苯基,,C<sub>6</sub>H<sub>5</sub>C<sub>6</sub>H<sub>4</sub>-,2012-11-26
358717,biphenylenyl,伸联苯基,,－C<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>4</sub>－,2012-11-26
358718,biphenylenebisazo,[伸]联苯双偶氮基,,－N=NC<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>4</sub>N=N－,2012-11-26
358719,binaphthylyl,联萘基,,C<sub>10</sub>H<sub>7</sub>C<sub>10</sub>H<sub>6</sub>－,2012-11-26
358720,binaphthalenyl,联萘基,,C<sub>10</sub>H<sub>7</sub>C<sub>10</sub>H<sub>6</sub>－,2012-11-26
358721,bicyclo[2.2.1]hept-5-en-2-yl,双环[2.2.1]庚-5-烯-2-基,,C<sub>7</sub>H<sub>9</sub>－,2012-11-26
358722,bi(cyclohexyl)yl,双环己基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>C<sub>6</sub>H<sub>10</sub>－,2012-11-26
358723,bi(cyclohexan)yl,双环己基,,C<sub>6</sub>H<sub>1</sub><sub>1</sub>C<sub>6</sub>H<sub>10</sub>－,2012-11-26
358724,benzylthio,苄硫基；苯甲硫基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>S－,2012-11-26
358725,benzyloxycarbonyl,苄氧羰基；苯甲氧羰基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>OCO－,2012-11-26
358726,benzyloxy,苄氧基；苯甲氧基,,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>O－,2012-11-26
358727,benzylene {benzylidene; benzal},亚苄基；苯亚甲基,,C<sub>6</sub>H<sub>5</sub>CH<,2012-11-26
358728,benzylidene {benzal; α-tolylene},亚苄基；苯亚甲基,,C<sub>6</sub>H<sub>5</sub>CH<,2012-11-26
358729,benzyl {α-tolyl},苄基；苯甲基 {α-【草叨】基},,C<sub>6</sub>H<sub>5</sub>CH<sub>2</sub>－,2012-11-26
358730,benzoyloxy {benzoxy},苄醯氧基；苯甲醯氧基,,C<sub>6</sub>H<sub>5</sub>COO－,2012-11-26
358731,benzoylhydrazino ,苯甲醯肼基；苄醯肼基,,C<sub>6</sub>H<sub>5</sub>CONHNH－,2012-11-26
358732,benzoylene,伸苯甲醯基,,－C<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
358733,benzoylimino,苯甲醯亚胺基；苄醯亚胺基,,C<sub>6</sub>H<sub>5</sub>CON<,2012-11-26
358734,benzoylamino,苯甲醯胺基；苄醯胺基,,C<sub>6</sub>H<sub>5</sub>CONH－,2012-11-26
358735,benzoyl,苯甲醯基；苄醯基,,C<sub>6</sub>H<sub>5</sub>CO－,2012-11-26
358736,benzoxy {benzoyloxy},苯甲醯氧基；苄醯氧基,,C<sub>6</sub>H<sub>5</sub>COO－,2012-11-26
358737,benzoxazolyl,苯并【口咢】唑基,,ONC<sub>7</sub>H<sub>4</sub>－,2012-11-26
358738,benzoxazinyl,苯并【口咢】【口井】基,,ONC<sub>8</sub>H<sub>6</sub>－,2012-11-26
358739,p-benzoquinonyl,对苯醌基,,C<sub>6</sub>H<sub>3</sub>O<sub>2</sub>－,2012-11-26
358740,4-o-benzoquinonyl,4-邻-苯醌基,,<p>C<sub>6</sub>H<sub>3</sub>O<sub>2</sub>－</p>,2012-11-26
358741,3-o-benzoquinonyl,3-邻-苯醌基,,<p>C<sub>6</sub>H<sub>3</sub>O<sub>2</sub>－</p>,2012-11-26
358742,benzopyranyl,苯并哌喃基,,C<sub>9</sub>H<sub>7</sub>O－,2012-11-26
358743,benzofuryl,苯并呋喃基,,C<sub>8</sub>H<sub>5</sub>O－,2012-11-26
358744,benzofuranyl,苯并呋喃基；氧茚基,,OC<sub>8</sub>H<sub>5</sub>－,2012-11-26
358745,benzo[b]thienyl,苯并[b]噻吩基,,SC<sub>8</sub>H<sub>5</sub>－,2012-11-26
358746,benzimidoyl; benzimidoyle,亚胺苄基,,C<sub>6</sub>H<sub>5</sub>C(=NH)－,2012-11-26
358747,benzimido; benzoylimino,苯甲醯亚胺基,,C<sub>6</sub>H<sub>5</sub>CON=,2012-11-26
358748,benzimidazolyl,苯并咪唑基,,C<sub>6</sub>H<sub>4</sub>N<sub>2</sub>HC－,2012-11-26
358749,benziloyl,二苯羟乙醯基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>C(OH)CO－,2012-11-26
358750,benzilidene,亚苄基；苯亚甲基,,C<sub>6</sub>H<sub>5</sub>CH=,2012-11-26
358751,benzidino,[胺]联苯胺基,,H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>C<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
358752,benzhydrylidene; diphenylmethylene,二苯亚甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>C=,2012-11-26
358753,benzhydryl; diphenylmethyl,二苯甲基,,(C<sub>6</sub>H<sub>5</sub>)<sub>2</sub>CH－,2012-11-26
358754,benzylidyne {benzenyl},次苄基；苯次甲基,,C<sub>6</sub>H<sub>5</sub>C≣,2012-11-26
358755,benzenyl,次苄基；苯次甲基,,C<sub>6</sub>H<sub>5</sub>C≣,2012-11-26
358756,benzenetriyl {benzenyl},次苄基；苯次甲基,,C<sub>6</sub>H<sub>5</sub>C≣,2012-11-26
358757,benzenesulfonylamino,苯磺醯胺基,,C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>NH－,2012-11-26
358758,benzenesulfonyl,苯磺醯基,,C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>－,2012-11-26
358759,benzenesulfonamido,苯磺醯胺基,,C<sub>6</sub>H<sub>5</sub>SO<sub>2</sub>NH－,2012-11-26
358760,benzenesulfinyl; phenylsulfinyl,苯亚磺醯基,,C<sub>6</sub>H<sub>5</sub>SO－,2012-11-26
358761,benzenecarbonyl,苯甲醯基；苯羰基；苄醯基,,C<sub>6</sub>H<sub>5</sub>CO－,2012-11-26
358762,benzeneazoxy,苯(氧偶氮)基,,C<sub>6</sub>H<sub>5</sub>N(O)N－,2012-11-26
358763,benzeneazo,苯偶氮基,,C<sub>6</sub>H<sub>5</sub>N=N－,2012-11-26
358764,benzamido,苯甲醯胺基；苄醯胺基,,C<sub>6</sub>H<sub>5</sub>CONH－,2012-11-26
358765,benzal {benzylidene; α-tolylene},亚苄基；苯亚甲基,,C<sub>6</sub>H<sub>5</sub>CH<,2012-11-26
358766,benzal,苯亚甲基；亚苄基,,C<sub>6</sub>H<sub>5</sub>CH<,2012-11-26
358767,azulenyl,薁基,,C<sub>10</sub>H<sub>7</sub>－,2012-11-26
358768,azoxy,氧偶氮基,,－N(O)=N－,2012-11-26
358769,azo,偶氮基,,－N=N－,2012-11-26
358770,azino,次偶氮基,,=NN=,2012-11-26
358771,azimino; azimido,偶氮亚胺基,,－N=NNH－,2012-11-26
358772,azido {triazo},叠氮基 {三氮基},,N<sub>3</sub>－,2012-11-26
358773,azelaxyl,壬二醯基,,－CO(CH<sub>2</sub>)<sub>7</sub>CO－,2012-11-26
358774,atropoyl,阿托醯基；颠茄醯基；2-苯丙烯醯基,,C<sub>6</sub>H<sub>5</sub>(CCH<sub>2</sub>)CO－,2012-11-26
358775,β-aspartyl,β-天冬胺醯基,,HOOCCH(NH<sub>2</sub>)CH<sub>2</sub>CO－,2012-11-26
358776,α-aspartyl,α-天冬胺醯基,,HOOCCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358777,aspartyl; aspartoyl,天[门]冬胺醯基,,－COCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358778,asparaginyl; asparagyl,天[门]冬醯胺醯基,,H<sub>2</sub>NCOCH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358779,"asaryl {2,4,5-trimethoxyphenyl}","细辛基 {2,4,5-三甲氧苯基}",,(CH<sub>3</sub>O)<sub>3</sub>C<sub>6</sub>H<sub>2</sub>－,2012-11-26
358780,arsylene,亚胂基,,HAs=,2012-11-26
358781,arsono,胂酸基,,(OH)<sub>2</sub>OAs－,2012-11-26
358782,arso,二氧砷基,,－AsO<sub>2</sub>,2012-11-26
358783,arsino,胂基,,H<sub>2</sub>As－,2012-11-26
358784,arsinico,亚胂酸基,,(HO)OAs－,2012-11-26
358785,arsenoso,砷氧基；亚砷醯基,,－As=O,2012-11-26
358786,arseno,偶砷基,,－As=As－,2012-11-26
358787,arginyl,精胺醯基,,H<sub>2</sub>NC(=NH)NH(CH<sub>2</sub>)<sub>3</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
358788,antimono,偶锑基,,－Sb=Sb－,2012-11-26
358789,anthrylene,伸蒽基；次蒽基,,－C<sub>1</sub><sub>4</sub>H<sub>8</sub>－,2012-11-26
358790,anthryl {anthranyl},蒽基,,C<sub>1</sub><sub>4</sub>H<sub>9</sub>－,2012-11-26
358791,anthraquinonyl,蒽醌基,,C<sub>1</sub><sub>4</sub>H<sub>7</sub>O<sub>2</sub>－,2012-11-26
358792,anthranyl {anthryl},蒽基,,C<sub>1</sub><sub>4</sub>H<sub>9</sub>－,2012-11-26
358793,anthranoyl {anthraniloyl},邻胺苄醯基；邻-胺苯甲醯基,,<p>o-H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
358794,anthraniloyl {anthranoyl},邻胺苄醯基；邻-胺苯甲醯基,,<p>o-H<sub>2</sub>NC<sub>6</sub>H<sub>4</sub>CO－</p>,2012-11-26
358795,anisylidene {anisal; methoxybenzylidene},甲氧苯亚甲基 {大茴香亚甲基；甲氧亚【草卞】基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358796,anisylidene,甲氧苯亚甲基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358797,anisyl {methoxyphenyl},大茴香基 {甲氧苯基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>－,2012-11-26
358798,anisoyl,大茴香醯基 {甲氧苯甲醯基；甲氧【草卞】醯基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CO－,2012-11-26
358799,anisidino,甲氧苯胺基,,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>NH－,2012-11-26
358800,anisal {anisylidene; methoxybenzylidene},大茴香亚甲基 {甲氧苯亚甲基；甲氧亚【草卞】基},,CH<sub>3</sub>OC<sub>6</sub>H<sub>4</sub>CH=,2012-11-26
358801,anilino,苯胺基,,C<sub>6</sub>H<sub>5</sub>NH－,2012-11-26
358802,amylidene,亚戊基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CH=,2012-11-26
358803,amylene,伸戊基,,－(C<sub>5</sub>H<sub>1</sub>0)－,2012-11-26
365912,sec-amyl,二级-戊基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH(CH<sub>3</sub>)－,2021-09-28
365913,amyl {pentyl},戊基,,C<sub>5</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
365914,ammonio,铵基,,H<sub>3</sub>N+－,2012-11-26
365915,aminooxy,胺氧基,,H<sub>2</sub>NO－,2012-11-26
365916,aminomethyleneamino,胺基亚甲胺基,,H<sub>2</sub>NCH=N－,2012-11-26
365917,aminoacetyl {glycyl},胺乙醯基 {甘胺醯基},,H<sub>2</sub>NCH<sub>2</sub>CO－,2012-11-26
365918,amino,胺基,,H<sub>2</sub>N－,2012-11-26
365919,amidoxalyl {oxamoyl},醯胺草醯基 {草醯胺醯基},,H<sub>2</sub>NCOCO－,2012-11-26
365920,amido,醯胺基,,RCO(NH)－,2012-11-26
365921,amidino {guanyl},甲脒基,,H<sub>2</sub>NC(=NH)－,2012-11-26
365922,allyloxy,烯丙氧基,,CH<sub>2</sub>=CHCH<sub>2</sub>O－,2012-11-26
365923,allylidene,亚烯丙基,,CH<sub>2</sub>=CHCH=,2012-11-26
365924,allyl,烯丙基,,CH<sub>2</sub>=CHCH<sub>2</sub>－,2012-11-26
365925,allophanyl {allophanoyl},脲[基]羰基；脲甲醯基,,H<sub>2</sub>NCONHCO－,2012-11-26
365926,allophanoyl {allophanyl},脲甲醯基；脲[基]羰基,,H<sub>2</sub>NCONHCO－,2012-11-26
365927,alanyl,丙胺醯基,,CH<sub>3</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
365928,adipyl {adipoyl},己二醯基,,－CO(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
365929,adipoyl {adipyl},己二醯基,,－CO(CH<sub>2</sub>)<sub>4</sub>CO－,2012-11-26
365930,acrylyl {acryloyl},丙烯醯基,,CH<sub>2</sub>=CHCO－,2012-11-26
365931,acryloyl {acrylyl},丙烯醯基,,CH<sub>2</sub>=CHCO－,2012-11-26
365932,acridinyl,吖啶基,,C<sub>1</sub><sub>3</sub>H<sub>8</sub>N－,2012-11-26
365933,acetylimino,乙醯亚胺基；醋醯亚胺基,,CH<sub>3</sub>CON=,2012-11-26
365934,acetylhydrazino,乙醯肼基；醋醯肼基,,CH<sub>3</sub>CONHNH－,2012-11-26
365935,acetyl,乙醯基,,CH<sub>3</sub>CO－,2012-11-26
365936,acetoxy,乙醯氧基,,CH<sub>3</sub>COO－,2012-11-26
365937,acetonylidene,亚丙酮基,,CH<sub>3</sub>COCH=,2012-11-26
365938,acetonyl,丙酮基,,CH<sub>3</sub>COCH<sub>2</sub>－,2012-11-26
365939,acetoacetyl,乙醯乙醯基,,CH<sub>3</sub>COCH<sub>2</sub>CO－,2012-11-26
365940,acetenyl {ethynyl},乙炔基,,HC≣C－,2012-11-26
365941,acetamino {acetamido},醋醯胺基；乙醯胺基,,CH<sub>3</sub>CONH－,2012-11-26
365942,acetamido {acetamino},乙醯胺基；醋醯胺基,,CH<sub>3</sub>CONH－,2012-11-26
365943,acephenanthrylenyl,乙烯合菲基,,C<sub>1</sub><sub>6</sub>H<sub>9</sub>－,2012-11-26
365944,acephenanthrenyl,乙烷合菲基,,C<sub>1</sub><sub>6</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
365945,acenaphthylenyl,苊基,,C<sub>1</sub><sub>2</sub>H<sub>7</sub>－,2012-11-26
365946,acenaphthenylidene,亚二氢苊基；亚乙烷合萘基,,C<sub>1</sub><sub>2</sub>H<sub>8</sub>=,2012-11-26
365947,acenaphthenylene,伸二氢苊基；伸乙烷合萘基,,－C<sub>1</sub><sub>2</sub>H<sub>8</sub>－,2012-11-26
365948,acenaphthenyl,二氢苊基；乙烷合萘基,,C<sub>1</sub><sub>2</sub>H<sub>9</sub>－,2012-11-26
365949,aceanthrylenyl,乙烯合蒽基,,C<sub>1</sub><sub>6</sub>H<sub>9</sub>－,2012-11-26
365950,aceanthrenyl,乙烷合蒽基,,C<sub>1</sub><sub>6</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535885,neopentyl,新戊基,,(CH<sub>3</sub>)<sub>3</sub>CCH<sub>2</sub>－,2012-11-26
535886,neryl,橙花基,,C<sub>10</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
535887,nicotinoyl,烟碱醯基,,NC<sub>5</sub>H<sub>4</sub>CO－,2012-11-26
535888,nitramino,硝胺基,,O<sub>2</sub>NNH－,2012-11-26
535889,nitrilo,氮基,,N≣,2012-11-26
535890,nitro,硝基,,O<sub>2</sub>N－,2012-11-26
535891,aci-nitro,酸硝基,,HO(O)N=,2012-11-26
535892,aci-nitro {isonitro},酸硝基 {异硝基},,HO(O)N=,2012-11-26
535893,nitrosamino,亚硝胺基,,ONNH－,2012-11-26
535894,nitrosimino,亚硝亚胺基,,ONN=,2012-11-26
535895,nitroso,亚硝基,,ON－,2012-11-26
535896,nonacontyl,九十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>8</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
535897,nonacosyl,二十九基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>7</sub>CH<sub>2</sub>－,2012-11-26
535898,nonadecyl ,十九基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>7</sub>CH<sub>2</sub>－,2012-11-26
535899,nonamethylene,伸壬基,,－(CH<sub>2</sub>)<sub>9</sub>－,2012-11-26
535900,nonanedioyl,壬二醯基,,－CO(CH<sub>2</sub>)<sub>7</sub>CO－,2012-11-26
535901,nonanoyl,壬醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CO－,2012-11-26
535902,nonyl,壬基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CH<sub>2</sub>－,2012-11-26
535903,norbornenyl,降【艹伯】烯基,,C<sub>7</sub>H<sub>9</sub>－,2012-11-26
535904,norbornyl; norbornylyl {norcamphanyl},降【草(之上)伯】基 {降莰基},,C<sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535905,norcamphanyl {norbornyl; norbornylyl},降莰基 {降【草(之上)伯】基},,C<sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535906,norcamphyl; norcamphanyl,降莰基,,C<sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535907,norcaryl {norbornyl; norbornylyl},降蒈基 {降【草(之上)伯】基},,C<sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535908,norleucyl,正白胺醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
535909,norpinanyl,降蒎基,,C<sub>7</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
535910,norvalyl,正缬胺醯基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
535911,octacontyl,八十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
535912,cis-9-octadecenoyl {oleoyl},顺-9-十八烯醯基 {油醯基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CH=CH(CH<sub>2</sub>)<sub>7</sub>CO－,2020-05-07
535913,octacosyl,二十八基,,C<sub>2</sub><sub>8</sub>H<sub>5</sub><sub>7</sub>－,2012-11-26
535914,octadecanoyl {stearoyl},十八醯基 {硬脂醯基},,C<sub>1</sub><sub>7</sub>H<sub>3</sub><sub>5</sub>CO－,2012-11-26
535915,octadecosyl,十八基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>6</sub>CH<sub>2</sub>－,2012-11-26
535916,octadecyl,十八基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>6</sub>CH<sub>2</sub>－,2012-11-26
535917,octamethylene,伸辛基,,－(CH<sub>2</sub>)<sub>8</sub>－,2012-11-26
535918,octanedioyl,辛二醯基,,－CO(CH<sub>2</sub>)<sub>6</sub>CO－,2012-11-26
535919,octanoyl,辛醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>6</sub>CO－,2012-11-26
535920,n-octyl,正辛基,,C<sub>8</sub>H<sub>1</sub><sub>7</sub>－,2012-11-26
535921,octylene,伸辛基,,－CH<sub>2</sub>(CH<sub>2</sub>)<sub>6</sub>CH<sub>2</sub>－,2012-11-26
535922,oenanthyl; oenanthoyl; heptanoyl,庚醯基,,C<sub>6</sub>H<sub>1</sub><sub>3</sub>CO－,2012-11-26
535923,oleoyl {cis-9-octadecenoyl},油醯基 {顺-9-十八烯醯基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CH=CH(CH<sub>2</sub>)<sub>7</sub>CO－,2020-05-07
535924,ornithyl,鸟胺醯基,,H<sub>2</sub>N(CH<sub>2</sub>)<sub>3</sub>CH(NH<sub>2</sub>)CO－,2012-11-26
535925,ovalenyl,莪基,,C<sub>3</sub><sub>2</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
535926,oxadiethyl,二甘氧基,,－OCH<sub>2</sub>CH<sub>2</sub>OCH<sub>2</sub>CH<sub>2</sub>O－,2012-11-26
535927,oxalaceto,草醯乙醯基,,HOOCCOCH<sub>2</sub>CO－,2012-11-26
535928,oxaloacetyl,酸草醯乙醯基,,－COCOCH<sub>2</sub>CO－,2012-11-26
535929,oxalyl,草醯基,,－COCO－,2012-11-26
535930,oxalyl {ethanedioyl},草醯基 {乙二醯基} ,,－OCCO－,2012-11-26
535931,oxamido,草醯胺基；乙二醯胺基,,H<sub>2</sub>NCOCONH－,2012-11-26
535932,oxamoyl {amidoxalyl},草醯胺醯基 {醯胺草醯基},,H<sub>2</sub>NCOCO－,2012-11-26
535933,oxamoyl; oxamyl,草醯胺醯基,,H<sub>2</sub>NCOCO－,2012-11-26
535934,oxapyrenyl,氧代芘基,,OC<sub>1</sub><sub>5</sub>H<sub>9</sub>－,2012-11-26
535935,oxazinyl,【口咢】【口井】基,,ONC<sub>4</sub>H<sub>4</sub>－,2012-11-26
535936,oxazolidinyl,【口咢】唑啶基,,ONC<sub>3</sub>H<sub>6</sub>－,2012-11-26
535937,oxazolinyl,【口咢】唑啉基,,ONC<sub>3</sub>H<sub>4</sub>－,2012-11-26
535938,oxazolyl,【口咢】唑基,,ONC<sub>3</sub>H<sub>2</sub>－,2012-11-26
535939,oxido,氧负离子基,,<sup>－</sup>O－,2012-11-26
535940,oximino {isonitroso},羟亚胺基 {异亚硝基},,HON=,2012-11-26
535941,oxo,侧氧基,,O=,2012-11-26
535942,oxonio,氢羟基,,H<sub>2</sub>O<sup>＋</sup>－,2012-11-26
535943,oxy,[伸]氧基,,－O－,2012-11-26
535944,oxy,氧基,,－O－,2012-11-26
535945,oxyamino {isonitroso},羟亚胺基 {异亚硝基},,HON=,2012-11-26
535946,palmitoyl {hexadecanoyl},棕榈醯基；软脂醯基 {十六醯基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CO－,2012-11-26
535947,palmityl,棕榈基；软脂基 {十六基},,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>4</sub>CH<sub>2</sub>－,2012-11-26
535948,pelargonyl,壬醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>7</sub>CO－,2012-11-26
535949,pentacenyl,稠五苯基,,C<sub>2</sub><sub>2</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
535950,pentacontyl,五十基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>4</sub><sub>8</sub>CH<sub>2</sub>－,2012-11-26
535951,pentacosyl,二十五基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>2</sub><sub>3</sub>CH<sub>2</sub>－,2012-11-26
535952,pentadecanoyl,十五醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>1</sub><sub>3</sub>CO－,2012-11-26
535953,pentadecyl,十五基,,C<sub>1</sub><sub>5</sub>H<sub>3</sub><sub>1</sub>－,2012-11-26
535954,pentafluorothio,五氟硫基,,F<sub>5</sub>S－,2012-11-26
535955,pentalenyl,并环戊二烯基,,C<sub>8</sub>H<sub>5</sub>－,2012-11-26
535956,pentamethylene,五亚甲基；伸戊基,,－CH<sub>2</sub>(CH<sub>2</sub>)<sub>3</sub>CH<sub>2</sub>－,2012-11-26
535957,pentanedioyl; glutaryl,戊二醯基,,－CO(CH<sub>2</sub>)<sub>3</sub>CO－,2012-11-26
535958,pentanoyl; valeryl,戊醯基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CO－,2012-11-26
535959,pentapheneyl,五芬基,,C<sub>2</sub><sub>2</sub>H<sub>1</sub><sub>3</sub>－,2012-11-26
535960,2-penten-4-ynyl,2-戊烯-4-炔基,,CH≣C－CH=CH－CH<sub>2</sub>－,2012-11-26
535961,n-pentadecyl,正十五基,,C<sub>1</sub><sub>5</sub>H<sub>3</sub><sub>1</sub>－,2012-11-26
535962,pentazolyl,五唑基,,N=N-N=N-N－,2012-11-26
535963,pentenyl,戊烯基,,H<sub>3</sub>C(CH<sub>2</sub>)<sub>2</sub>HC=CH－,2012-11-26
535964,n-pentyl,正戊基,,CH<sub>3</sub>(CH<sub>2</sub>)<sub>3</sub>CH<sub>2</sub>－,2012-11-26
535965,sec-pentyl,二级-戊基,,CH<sub>3</sub>CH<sub>2</sub>CH<sub>2</sub>CH(CH<sub>3</sub>)－,2021-09-28
535966,pentyl {amyl},戊基,,C<sub>5</sub>H<sub>1</sub><sub>1</sub>－,2012-11-26
