ID,英文名稱,中文名稱,圖片,化學式,更新日期
523969,sebacic acid piperazinium salt,酸式癸二酸哌【口+井】,,C<Sub>4</Sub><Font>H</Font><Sub>10</Sub><Font>N</Font><Sub>2</Sub><Font>·C</Font><Sub>10</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>4</Sub>,2023-01-17
523970,scutellarin,元参素；黄芹素,,C<Sub>21</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>12</Sub>,2023-01-17
523971,sebacic acid; sebacylic acid; octane dicarboxylic acid,泌酯酸；癸二酸,,(CH<Sub>2</Sub><Font>)</Font><Sub>8</Sub><Font>(COOH)</Font><Sub>2</Sub>,2023-01-17
523972,"scutellarein; 4',5,6,7-tetrahydroxy-flavone","元参酮；4',5,6,7-四羟黄酮",,C<Sub>15</Sub><Font>H</Font><Sub>10</Sub><Font>O</Font><Sub>6</Sub>,2023-01-17
523973,scopolin,莨菪苷,,C<Sub>16</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>9</Sub>,2023-01-17
523974,scopoletin; 7-hydroxy-6-methoxy-coumarin,莨菪素；7-羟-6-甲氧香豆素,,C<Sub>10</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>4</Sub>,2023-01-17
523975,scopolamine,莨菪碱,,C<Sub>17</Sub><Font>H</Font><Sub>21</Sub><Font>NO</Font><Sub>4</Sub>,2023-01-17
523976,scilliroside,海葱葡苷,,C<Sub>32</Sub><Font>H</Font><Sub>44</Sub><Font>O</Font><Sub>12</Sub>,2023-01-17
523977,scoparin,金雀花素,,C<Sub>22</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>11</Sub>,2023-01-17
523978,scillaren A,海葱苷A,,C<Sub>36</Sub><Font>H</Font><Sub>52</Sub><Font>O</Font><Sub>13</Sub>,2023-01-17
523979,scillabiose,海葱二糖,,C<Sub>12</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>10</Sub>,2023-01-17
523980,"Schollkopf's acid; 1-naphthol-4,8-disulphonic acid","薛而考夫酸；1-萘酚-4,8-二磺酸",,C<Sub>10</Sub><Font>H</Font><Sub>8</Sub><Font>O</Font><Sub>7</Sub><Font>S</Font><Sub>2</Sub>,2023-01-17
523981,Schaffer's α-acid,α-薛佛酸；1-萘酚-2-磺酸,,HOC<Sub>10</Sub><Font>H</Font><Sub>6</Sub><Font>SO</Font><Sub>3</Sub><Font>H</Font>,2023-01-17
523982,scarlet red,猩红,,C<Sub>24</Sub><Font>H</Font><Sub>20</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font>,2023-01-17
523983,scatol; skatole; 3-methyl-1H-indole,粪臭素；3-甲[-1H-]吲哚,,C<Sub>9</Sub><Font>H</Font><Sub>9</Sub><Font>N</Font>,2023-01-17
523984,scandium acetate,乙酸钪,,Sc(CH<Sub>3</Sub><Font>COO)</Font><Sub>3</Sub>,2023-01-17
523985,scandium formate,甲酸钪,,Sc(HCOO)<Sub>3</Sub>,2023-01-17
523986,satan,赛丹聚二氯乙烯,,(C<Sub>2</Sub><Font>H</Font><Sub>2</Sub><Font>Cl</Font><Sub>2</Sub><Font>)</Font><Sub>n</Sub>,2023-01-17
523987,sarcosine hydrochloride,肌胺酸盐酸盐,,HOOCCH<Sub>2</Sub><Font>NH(CH</Font><Sub>3</Sub><Font>)·HCl</Font>,2023-01-17
523988,sarcosine; N-methylglycine,肌胺酸；N-甲甘胺酸,,CH<Sub>3</Sub><Font>NHCH</Font><Sub>2</Sub><Font>COOH</Font>,2023-01-17
523989,sarcine; hypoxanthine,次黄嘌呤；6-氧嘌呤,,C<Sub>5</Sub><Font>H</Font><Sub>4</Sub><Font>N</Font><Sub>4</Sub><Font>O</Font>,2023-01-17
523990,sarcolactic acid,肌乳酸；L(+)-乳酸,,CH<Sub>3</Sub><Font>CHOHCOOH</Font>,2023-01-17
523991,saponarin,皂草苷,,C<Sub>21</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font><Sub>12</Sub><Font>·2H</Font><Sub>2</Sub><Font>O</Font>,2023-01-17
523992,santonin,山道宁,,C<Sub>15</Sub><Font>H</Font><Sub>18</Sub><Font>O</Font><Sub>3</Sub>,2023-01-17
523993,santonic acid,山道酸,,C<Sub>15</Sub><Font>H</Font><Sub>20</Sub><Font>O</Font><Sub>4</Sub>,2023-01-17
523994,santene,檀烯,,C<Sub>9</Sub><Font>H</Font><Sub>14</Sub>,2023-01-17
523995,santalyl salicylate; santyl,柳酸檀香酯,,HOC<Sub>6</Sub><Font>H</Font><Sub>4</Sub><Font>COOC</Font><Sub>15</Sub><Font>H</Font><Sub>23</Sub>,2023-01-17
523996,santalol,檀香醇,,C<Sub>15</Sub><Font>H</Font><Sub>24</Sub><Font>O</Font>,2023-01-17
523997,santalic acid,檀香酸,,C<Sub>15</Sub><Font>H</Font><Sub>22</Sub><Font>O</Font><Sub>2</Sub>,2023-01-17
523998,sanorin,2-(1-萘甲)咪唑啉盐酸盐,,C<Sub>14</Sub><Font>H</Font><Sub>14</Sub><Font>N</Font><Sub>2</Sub><Font>·HCl</Font>,2023-01-17
523999,sanguinarine,血根碱,,C<Sub>20</Sub><Font>H</Font><Sub>14</Sub><Font>NO</Font><Sub>4</Sub>,2023-01-17
524000,sanguinarine nitrate,血根树碱硝酸盐,,C<Sub>20</Sub><Font>H</Font><Sub>15</Sub><Font>NO</Font><Sub>4</Sub><Font>·HNO</Font><Sub>3</Sub>,2023-01-17
524001,salvarsan; arsphenamine,606{药名}；砷凡纳明,,[AsC<Sub>6</Sub><Font>H</Font><Sub>3</Sub><Font>(OH)NH</Font><Sub>2</Sub><Font>]</Font><Sub>2</Sub>,2023-01-17
524002,salsoline,叉明草素,,C<Sub>11</Sub><Font>H</Font><Sub>15</Sub><Font>NO</Font><Sub>2</Sub>,2023-01-17
