ID,英文名稱,中文名稱,圖片,審譯日期,來源,更新日期
5452521,septum,隔膜,,101.02.09,nan,2023-01-17
5452522,sequence,序列,,102.05.13,中华无菌制剂协会,2023-01-17
5452523,sequencer,定序仪,,102.05.13,中华无菌制剂协会,2023-01-17
5452524,sequencing,定序,,107.08.17,nan,2023-01-17
5452525,sequestering agents,螯合剂,,106.01.19,Remington,2023-01-17
5452526,serious adverse event {=SAE},严重不良事件,,104.06.11,GCP,2023-01-17
5452527,serum,血清,,102.11.06,药品剂型分类草案,2023-01-17
5452528,serum glutamate-oxaloacetate transaminase {=SGOT},血清麸胺酸草醯乙酸转胺酶,,102.05.13,中华无菌制剂协会,2023-01-17
5452529,serum glutamate-pyruvate transaminase {=SGPT},血清麸胺酸丙酮酸转胺酶,,102.05.13,中华无菌制剂协会,2023-01-17
5452530,sesame oil {Sesami Oleum},麻油；芝麻油；胡麻油,,103.09.11,中医药,2023-01-17
5452531,sesquiterpenes,倍半萜,,102.05.13,中华无菌制剂协会,2023-01-17
5452532,settle plate,落菌培养皿,,104.02.26,GMP,2023-01-17
5452533,sevoflurane,七氟烷,,102.08.13,中华无菌制剂协会：新药,2023-01-17
5452534,sex hormones,性激素类；性荷尔蒙类,,102.05.13,中华无菌制剂协会,2023-01-17
5452535,sexually transmitted diseases,性病,,106.01.19,Remington,2023-01-17
5452536,shark derivatives,鲨制品,,103.09.11,健康食品,2023-01-17
5452537,shear,切力；切变,,106.01.19,Remington,2023-01-17
5452538,shear strain,切应变,,106.01.19,Remington,2023-01-17
5452539,shear viscosity,剪切黏度,,102.05.13,中华无菌制剂协会,2023-01-17
5452540,shelf life,架储期,,104.02.26,GMP,2023-01-17
5452541,shelf life specification,架储期规格,,102.11.06,pics-gmp,2023-01-17
5452542,shellac,虫胶,,101.05.17,nan,2023-01-17
5452543,shift,轮班；移,,104.02.26,GMP,2023-01-17
5452544,shikimic acid,莽草酸,,102.06.13,中华无菌制剂协会,2023-01-17
5452545,shiny bramble {Zanthoxyli Radix},双面刺；两面针,,103.09.11,中医药,2023-01-17
5452546,shock,休克,,102.06.13,中华无菌制剂协会,2023-01-17
5452547,shoulder peak,肩峰,,102.06.13,中华无菌制剂协会,2023-01-17
5452548,Sichuan fritillary bulb {Fritillariae Cirrhosae Bulbus},川贝母,,103.07.17,nan,2023-01-17
5452549,Sichuan peppercorn {Zanthoxyli Pericarpium},花椒,,103.09.11,中医药,2023-01-17
5452550,sickle-cell anemia,镰状细胞贫血症,,106.01.19,Remington,2023-01-17
5452551,side effect,副作用,,102.06.13,中华无菌制剂协会,2023-01-17
5452552,sieve,筛网；筛,,102.06.13,中华无菌制剂协会,2023-01-17
5452553,sieve plate,筛板,,102.06.13,中华无菌制剂协会,2023-01-17
5452554,sieve tube,筛管,,102.06.13,中华无菌制剂协会,2023-01-17
5452555,sieving,过筛；筛析,,102.06.13,中华无菌制剂协会,2023-01-17
5452556,signal-noise ratio,讯噪比,,105.06.20,nan,2023-01-17
5452557,signatures,署名,,106.01.19,Remington,2023-01-17
5452558,significant figures,有效数字,,106.01.19,Remington,2023-01-17
5452559,silane ligand,矽烷配体,,108.04.25,nan,2023-01-17
5452560,silanes,矽烷,,106.01.19,Remington,2023-01-17
5452561,silastic,矽橡胶,,106.01.19,Remington,2023-01-17
5452562,silica,二氧化矽；矽石,,106.02.16,Remington,2023-01-17
5452563,silica gel,矽胶,,102.11.06,中华药典,2023-01-17
5452564,silica microparticle,矽石微粒,,108.04.25,nan,2023-01-17
5452565,silica rod,矽石棒,,108.04.25,nan,2023-01-17
5452566,silicates,矽酸盐,,106.01.19,Remington,2023-01-17
5452567,silicic acid,矽酸,,102.08.13,国立编译馆,2023-01-17
5452568,silicon {=Si},矽,,106.02.16,Remington,2023-01-17
5452569,silicon dioxide,二氧化矽；矽石,,106.02.16,Remington,2023-01-17
5452570,silicone,矽氧树脂,,106.02.16,Remington,2023-01-17
5452571,silicone rubber,矽橡胶,,106.02.16,Remington,2023-01-17
5452572,siliconization,矽化,,106.02.16,nan,2023-01-17
5452573,siloxane,矽氧烷,,106.02.16,Remington,2023-01-17
5452574,silver colloid,胶体银,,102.08.13,国立编译馆,2023-01-17
5452575,silver nitrate,硝酸银,,102.11.06,中华药典,2023-01-17
5452576,silver protein,蛋白银,,102.08.13,nan,2023-01-17
5452577,silver protein ointment,(弱)蛋白银软膏,,102.01.16,国立编译馆,2023-01-17
5452578,silver proteinate,蛋白银,,102.08.13,国立编译馆,2023-01-17
5452579,simple ointment,单软膏,,102.11.06,中华药典,2023-01-17
5452580,simple syrup,单糖浆,,102.11.06,国立编译馆,2023-01-17
5452581,simulated gastric fluid,人工胃液,,101.02.09,nan,2023-01-17
5452582,single punch,单铳,,106.02.16,Remington,2023-01-17
5452583,single punch tablet machine,单铳压锭机,,102.06.13,中华无菌制剂协会,2023-01-17
5452584,single-beam equal-arm balance,单梁等臂天平,,106.02.16,Remington,2023-01-17
5452585,single-blind design,单盲试验设计,,102.06.13,中华无菌制剂协会,2023-01-17
5452586,single-donor plasma,单一来源血浆,,106.02.16,Remington,2023-01-17
5452587,sinker,沉锤,,107.11.22,nan,2023-01-17
5452588,sintered glass,烧结玻璃；熔砂玻璃,,106.02.16,Remington,2023-01-17
5452589,Siraitiae Fructus,罗汉果,,106.10.12,nan,2023-01-17
5452590,sitagliptin phosphate,磷酸西他列汀,,nan,化学药品,2023-01-17
5452591,site acceptance test {=SAT},现场验收,,104.02.26,GMP,2023-01-17
5452592,site of action,作用部位,,102.06.13,中华无菌制剂协会,2023-01-17
5452593,size-exclusion chromatography,粒径筛析层析法,,106.02.16,Remington,2023-01-17
5452594,skeletal muscle relaxants,骨骼肌松弛剂,,102.06.13,中华无菌制剂协会,2023-01-17
5452595,skin antigen tests,皮肤抗原试验,,106.02.16,Remington,2023-01-17
5452596,skin irritation test,皮肤刺激性试验,,106.02.16,Remington,2023-01-17
5452597,slant cultivation,斜面培养,,102.06.13,中华无菌制剂协会,2023-01-17
5452598,slice,切片；片,,102.06.13,中华无菌制剂协会,2023-01-17
5452599,slide culture,玻片培养,,102.06.13,中华无菌制剂协会,2023-01-17
5452600,slippery elm,赤榆；滑榆,,103.10.30,健康食品,2023-01-17
5452601,slow-reacting substance {=SRS},慢反应物质,,102.06.13,中华无菌制剂协会,2023-01-17
5452602,small volume injections,小容量注射剂,,102.11.06,药品剂型分类草案,2023-01-17
5452603,small volume parenterals {=SVP},小容量注射液剂,,102.11.06,药品剂型分类草案,2023-01-17
5452604,smallpox vaccine,痘苗；天花疫苗,,102.11.06,中华药典,2023-01-17
5452605,smooth greenbrier root {Smilacis Glabrae Rhizoma},土茯苓,,103.09.11,中医药,2023-01-17
5452606,smooth muscle,平滑肌,,103.03.13,中华无菌制剂协会,2023-01-17
5452607,snake venom,蛇毒,,102.06.13,中华无菌制剂协会,2023-01-17
5452608,soap,肥皂,,102.06.13,中华无菌制剂协会,2023-01-17
5452609,"SOAP {subjective, objective, assessment, plan} note",病患药历 {主诉、客观数据/资料、用药评析与规划},,106.02.16,Remington,2023-01-17
5452610,soapstone,滑石,,106.02.16,Remington,2023-01-17
5452611,soda,苏打；碳酸钠,,106.02.16,Remington,2023-01-17
5452612,sodium {=Na},钠,,102.11.06,中华药典,2023-01-17
5452613,sodium 1-pentanesulfonate,1-戊磺酸钠,,102.11.06,中华药典,2023-01-17
5452614,sodium acetate,乙酸钠；醋酸钠,,102.11.06,中华药典,2023-01-17
5452615,sodium alginate,褐藻酸钠,,104.07.09,Remington,2023-01-17
5452616,sodium benzoate,苯甲酸钠,,102.11.06,中华药典,2023-01-17
5452617,sodium bicarbonate,碳酸氢钠,,102.11.06,中华药典,2023-01-17
5452618,sodium bisulfite,亚硫酸氢钠,,102.11.06,中华药典,2023-01-17
5452619,sodium bitartrate,酒石酸氢钠,,102.11.06,中华药典,2023-01-17
5452620,sodium borate,硼酸钠,,102.11.06,中华药典,2023-01-17
5452621,sodium borohydride,硼氢化钠,,107.05.14,通则试药与溶液,2023-01-17
5452622,sodium bromide,溴化钠,,102.08.13,国立编译馆,2023-01-17
5452623,sodium carbonate,碳酸钠,,102.11.06,中华药典,2023-01-17
5452624,sodium chloride,氯化钠,,102.11.06,中华药典,2023-01-17
5452625,sodium chloride equivalent method,氯化钠当量法,,106.02.16,Remington,2023-01-17
5452626,sodium chloride injection,氯化钠注射液,,102.11.06,中华药典,2023-01-17
5452627,sodium chloride irrigation,氯化钠灌洗液,,102.11.06,中华药典,2023-01-17
5452628,sodium chloride tablets,氯化钠锭；盐锭；盐片,,102.11.06,中华药典,2023-01-17
5452629,sodium citrate,柠檬酸钠,,102.11.06,中华药典,2023-01-17
5452630,sodium cyanide,氰化钠,,102.08.13,国立编译馆,2023-01-17
5452631,sodium dithionite,二硫亚磺酸钠,,102.12.05,中华药典,2023-01-17
5452632,sodium dodecyl sulfate {=SDS},十二烷基硫酸钠,,102.11.06,中华药典,2023-01-17
5452633,sodium fluoride,氟化钠,,102.11.06,中华药典,2023-01-17
5452634,sodium hydrosulfite,亚硫酸氢钠,,102.12.05,中华药典,2023-01-17
5452635,sodium hydroxide,氢氧化钠；苛性钠,,102.08.13,国立编译馆,2023-01-17
5452636,sodium hypochlorite,次氯酸钠,,106.02.16,Remington,2023-01-17
5452637,sodium iodide,碘化钠,,102.12.05,中华药典,2023-01-17
5452638,sodium iodide {131I},放射性碘化钠,,102.12.05,中华药典,2023-01-17
5452639,sodium lactate,乳酸钠,,102.12.05,中华药典,2023-01-17
5452640,sodium lauryl sulfate {=SLS},硫酸月桂酯钠,,102.11.06,nan,2023-01-17
5452641,sodium metabisulfite,偏二亚硫酸钠,,106.02.16,Remington,2023-01-17
5452642,sodium monofluorophosphate,单氟磷酸钠,,102.12.05,中华药典,2023-01-17
5452643,sodium nitrate,硝酸钠,,102.08.13,国立编译馆,2023-01-17
5452644,sodium nitrite,亚硝酸钠,,102.12.05,中华药典,2023-01-17
5452645,sodium nitroprusside; sodium nitroferricyanide,硝普钠；亚硝氰铁化钠,,102.08.13,国立编译馆,2023-01-17
5452646,sodium oxalate,草酸钠,,102.12.05,中华药典,2023-01-17
5452647,sodium pertechnetate 99mTc,过𨱏酸钠 (99mTc),,102.12.05,中华药典,2023-01-17
5452648,sodium phosphate,磷酸钠,,106.02.16,Remington,2023-01-17
5452649,sodium polystyrene sulfonate,聚苯乙烯磺酸钠,,106.02.16,Remington,2023-01-17
5452650,sodium potassium tartrate,酒石酸钾钠,,102.08.13,国立编译馆,2023-01-17
5452651,sodium salicylate,水杨酸钠,,102.12.05,中华药典,2023-01-17
5452652,sodium silicate,矽酸钠；水玻璃,,102.08.13,国立编译馆,2023-01-17
5452653,sodium stearate,硬脂酸钠,,106.02.16,Remington,2023-01-17
5452654,sodium sulfate,硫酸钠,,102.12.05,中华药典,2023-01-17
5452655,sodium sulfide,硫化钠,,102.12.05,中华药典,2023-01-17
5452656,sodium tetraborate {borax},四硼酸钠；硼砂,,106.02.16,Remington,2023-01-17
5452657,sodium tetradecyl sulfate,十四烷基硫酸钠,,106.02.16,Remington,2023-01-17
5452658,sodium thioglycollate,硫代乙醇酸钠,,106.02.16,Remington,2023-01-17
5452659,sodium thiosulfate,硫代硫酸钠,,102.12.05,中华药典,2023-01-17
5452660,sodium tungstate,钨酸钠,,102.08.13,国立编译馆,2023-01-17
5452662,soft capsule,软胶囊,,106.02.16,Remington,2023-01-17
5452663,soft capsules,软胶囊剂,,102.11.06,药品剂型分类草案,2023-01-17
5452664,soft drug,软药,,102.06.13,中华无菌制剂协会,2023-01-17
5452665,soft elastic capsule,软胶囊,,106.02.16,Remington,2023-01-17
5452666,soft soap,钾肥皂；软肥皂,,102.08.13,国立编译馆,2023-01-17
5452667,sol,溶胶,,102.06.13,中华无菌制剂协会,2023-01-17
5452668,solid dispersion,固体分散,,106.08.15,Remington,2023-01-17
5452669,solid dosage forms,固体剂型,,102.11.06,药品剂型分类草案,2023-01-17
5452670,solid fill,固体充填,,102.11.06,药品剂型分类草案,2023-01-17
5452671,solid particle film,固体粒子薄膜,,106.02.16,Remington,2023-01-17
5452672,solid phase,固相,,102.06.13,nan,2023-01-17
5452673,solid solution,固态溶液,,102.06.13,中华无菌制剂协会,2023-01-17
5452674,solid spherical core,实心球形核,,108.04.25,nan,2023-01-17
5452675,solid support,撑体,,106.09.12,nan,2023-01-17
5452676,solubility,溶解度,,102.06.13,中华无菌制剂协会,2023-01-17
5452677,solubility profile,溶解度概貌,,106.02.16,Remington,2023-01-17
5452678,solubilization,增溶；助溶,,102.06.13,中华无菌制剂协会,2023-01-17
5452679,solubilizer,增溶剂；助溶剂,,102.06.13,中华无菌制剂协会,2023-01-17
5452680,soluble guncotton,火棉胶,,105.03.18,Remington,2023-01-17
5452681,soluble tablet,可溶锭,,102.06.13,中华无菌制剂协会,2023-01-17
5452682,solute,溶质,,106.02.16,Remington,2023-01-17
5452683,solution,溶液[剂],,102.06.13,中华无菌制剂协会,2023-01-17
5452684,solution of arsenious and mercuric iodide,碘化汞砷溶液,,102.08.13,国立编译馆,2023-01-17
5452685,solutions,溶液剂,,102.11.06,国立编译馆,2023-01-17
5452686,solvation,溶剂合,,106.02.16,Remington,2023-01-17
5452687,solvent,溶媒；溶剂,,102.11.06,国立编译馆,2023-01-17
5452688,solvent programming,溶剂梯度冲提,,106.09.12,nan,2023-01-17
5452689,solvolysis,溶剂分解；溶剂解,,106.02.16,Remington,2023-01-17
5452690,solvophobic effect,疏溶媒效应,,106.02.16,Remington,2023-01-17
5452691,somatostatin,生长激素释放抑制因子；体抑素,,102.08.13,中华无菌制剂协会：新药,2023-01-17
5452692,somatotropic hormones,生长激素类,,nan,nan,2023-01-17
5452693,somatotropin,生长激素,,106.02.16,Remington,2023-01-17
5452694,sophora flower {Sophorae Flos},槐花；槐米,,103.09.11,中医药,2023-01-17
5452695,sophora fruit {Sophorae Fructus},槐角,,103.09.11,中医药,2023-01-17
5452696,sorbic acid,山梨酸,,106.02.16,Remington,2023-01-17
5452697,sorbitan esters,山梨醇酯,,106.02.16,Remington,2023-01-17
5452699,source plasma,原料血浆,,104.02.26,GMP,2023-01-17
5452700,Soxhlet extractor,索氏抽提器,,102.06.13,中华无菌制剂协会,2023-01-17
5452701,soybean oil,大豆油,,102.12.05,中华药典,2023-01-17
5452702,Spanish fly,西班牙斑蝥；绿苍蝇,,102.11.06,国立编译馆,2023-01-17
5452703,Spans,山梨醇酯,,106.02.16,Remington,2023-01-17
5452704,spare receptor,备用受体,,102.06.13,中华无菌制剂协会,2023-01-17
5452705,sparteine,金雀花碱,,102.11.06,国立编译馆,2023-01-17
5452706,spasmolytics,解痉药,,102.11.06,国立编译馆,2023-01-17
5452707,spatholobus stem {Spatholobi Caulis},鸡血藤,,103.09.11,中医药,2023-01-17
5452708,spearmint,绿薄荷,,102.11.06,国立编译馆,2023-01-17
5452709,spearmint oil,绿薄荷油,,101.09.06,国立编译馆,2023-01-17
5452710,species,种,,106.03.14,Remington,2023-01-17
5452711,specific absorbance,比吸光度,,107.11.22,nan,2023-01-17
5452712,specific activity,比活性,,102.06.13,中华无菌制剂协会,2023-01-17
5452713,specific gravity,比重,,106.03.14,Remington,2023-01-17
5452714,specific intrinsic viscosity,比固有黏度,,103.03.13,中华无菌制剂协会,2023-01-17
5452715,specific optical rotation,比旋光度,,102.06.13,中华无菌制剂协会,2023-01-17
5452716,specific surface area,比表面积,,102.06.13,中华无菌制剂协会,2023-01-17
5452717,specific test,专一试验,,106.11.09,ICH Q6A,2023-01-17
5452718,specification,规格,,102.06.13,中华无菌制剂协会,2023-01-17
5452719,specificity,专一性,,102.06.13,中华无菌制剂协会,2023-01-17
5452720,specified impurity,特定不纯物,,106.11.09,ICH Q3A,2023-01-17
5452721,specified pathogen free {=SPF},无特定病源,,104.02.26,GMP,2023-01-17
5452722,specimen,标本；样本,,102.06.13,中华无菌制剂协会,2023-01-17
5452723,spectrometric,光谱的,,106.03.14,Remington,2023-01-17
5452724,spectrometry,光谱测定法,,106.03.14,Remington,2023-01-17
5452725,spectrophotometry,分光光度学；分光光度测定法,,106.03.14,Remington,2023-01-17
5452726,spectroscopy,光谱学,,106.03.14,Remington,2023-01-17
5452727,spermaceti,鲸蜡,,102.12.05,中华药典,2023-01-17
5452728,spermaticides,杀精子药,,102.06.13,中华无菌制剂协会,2023-01-17
5452729,spheronization,球形化,,106.03.14,Remington,2023-01-17
5452730,spice,香料,,102.11.06,国立编译馆,2023-01-17
5452731,spiking,外加,,104.02.26,GMP,2023-01-17
5452732,spinal anesthesia,脊髓麻醉,,102.06.13,中华无菌制剂协会,2023-01-17
5452733,spiny jujube kernel {Ziziphi Spinosi Semen},酸枣仁,,103.09.11,中医药,2023-01-17
5452734,spirastane,类固醇螺烷,,102.06.13,中华无菌制剂协会,2023-01-17
5452735,spirits,醑剂,,nan,国编馆,2023-01-17
5452736,Spirulina,螺旋藻,,103.10.30,健康食品,2023-01-17
5452737,splicing,剪接,,102.06.13,中华无菌制剂协会,2023-01-17
5452738,split,分流,,102.06.13,中华无菌制剂协会,2023-01-17
5452739,splitting,锭片裂隙,,104.09.10,Remington,2023-01-17
5452740,sponge,海绵,,102.11.06,国立编译馆,2023-01-17
5452741,sponsor,试验委托者,,102.11.06,pics-gmp,2023-01-17
5452742,spontaneous mutation,自然突变,,102.06.13,中华无菌制剂协会,2023-01-17
5452743,sporicidal agent,杀孢剂,,104.02.26,GMP,2023-01-17
5452744,spotting,点注,,106.09.12,nan,2023-01-17
5452745,spray,喷雾[剂],,102.06.13,中华无菌制剂协会,2023-01-17
5452746,spray congealing,喷雾冷凝,,106.03.14,Remington,2023-01-17
5452747,spray drying,喷雾干燥,,102.06.13,中华无菌制剂协会,2023-01-17
5452748,spray reagent,喷雾试剂,,102.03.14,中华无菌制剂协会,2023-01-17
5452749,sprayer,喷雾器,,102.03.14,中华无菌制剂协会,2023-01-17
5452750,spread plate cultivation,涂布培养,,102.06.13,中华无菌制剂协会,2023-01-17
5452751,squalane,(角) 鲨烷,,102.12.05,中华药典,2023-01-17
5452752,squalene,(角) 鲨烯,,102.12.05,nan,2023-01-17
5452753,squill,海葱,,102.11.06,国立编译馆,2023-01-17
5452754,St. John's wort,贯叶连翘,,103.03.13,nan,2023-01-17
5452755,stability,安定性,,102.06.13,中华无菌制剂协会,2023-01-17
5452756,stability indicating method,安定性指示法,,102.06.13,中华无菌制剂协会,2023-01-17
5452757,stability test,安定性试验,,102.06.13,nan,2023-01-17
5452758,stabilization,安定化,,102.06.13,中华无菌制剂协会,2023-01-17
5452759,stabilizer,安定剂,,102.06.13,中华无菌制剂协会,2023-01-17
5452760,stakeholder,利害关系人,,104.02.26,GMP,2023-01-17
5452761,standard curve,标准曲线,,105.09.22,nan,2023-01-17
5452762,standard deviation {=SD},标准偏差,,102.06.13,nan,2023-01-17
5452763,standard error {=SE},标准误差,,102.06.13,中华无菌制剂协会,2023-01-17
5452764,standard operation procedure {=SOP},标准作业程序,,102.06.13,nan,2023-01-17
5452765,standard substance,标准物,,102.06.13,中华无菌制剂协会,2023-01-17
5452766,standardization,标准化,,102.06.13,中华无菌制剂协会,2023-01-17
5452767,standardized coding systems,标准化编码系统,,106.03.14,Remington,2023-01-17
5452768,stannous fluoride,氟化亚锡,,102.12.05,中华药典,2023-01-17
5452769,Staphylococcus aureus,金黄色葡萄球菌,,102.06.13,中华无菌制剂协会,2023-01-17
5452770,star anise {Anisi Stellati Fructus},八角茴香；大茴香,,103.09.11,中医药,2023-01-17
5452771,starch,淀粉,,102.12.05,中华药典,2023-01-17
5452772,starch grain,淀粉粒,,102.06.13,中华无菌制剂协会,2023-01-17
5452773,starch paste,淀粉糊,,106.03.14,Remington,2023-01-17
5452774,starch-potassium iodide amylose TS,碘化钾淀粉试液,,102.12.05,中华药典,2023-01-17
5452775,starting material,起始物,,104.04.02,GMP,2023-01-17
5452776,state of control,管制状态；管控状态,,104.02.26,GMP,2023-01-17
5452777,statin drugs,斯他汀类药物,,106.09.12,nan,2023-01-17
5452778,stationary disk system,固定式圆盘溶离系统,,106.03.14,Remington,2023-01-17
5452779,stationary phase,固定相；静相,,106.08.15,Remington,2023-01-17
5452780,statistical quality control {=SQC},统计品管,,102.06.13,中华无菌制剂协会,2023-01-17
5452781,statistics,统计学,,106.03.14,Remington,2023-01-17
5452782,Statute for Control of Cosmetic Hygiene ,化粧品卫生管理条例,,103.01.16,中华无菌制剂协会,2023-01-17
5452783,Statute for the Control of Controlled Drugs,管制药品管理条例,,103.01.16,中华无菌制剂协会,2023-01-17
5452784,steady-state plasma drug concentration,稳态血浆药物浓度,,102.07.16,中华无菌制剂协会,2023-01-17
5452785,steam bath,蒸汽浴,,108.04.25,nan,2023-01-17
5452786,steam distillation,蒸汽蒸馏,,106.03.14,Remington,2023-01-17
5452787,steam sterilization,蒸汽灭菌,,102.07.16,中华无菌制剂协会,2023-01-17
5452788,steam-in-place {=SIP},原位蒸汽,,104.02.26,GMP,2023-01-17
5452789,steam-in-place {=SIP} sterilization,原位蒸汽灭菌,,nan,nan,2023-01-17
5452790,stearic acid,硬脂酸,,102.12.05,中华药典,2023-01-17
5452791,stearyl alcohol,硬脂醇,,102.12.05,中华药典,2023-01-17
5452792,stem cells,干细胞,,102.07.16,中华无菌制剂协会,2023-01-17
5452793,stenosis,狭窄,,106.03.14,Remington,2023-01-17
5452794,sterculia {Sterculiae Lychnophorae Semen},胖大海,,103.09.11,中医药,2023-01-17
5452795,stereochemistry,立体化学,,102.07.16,中华无菌制剂协会,2023-01-17
5452796,stereoisomer,立体异构物,,102.07.16,中华无菌制剂协会,2023-01-17
5452797,stereoisomerism,立体异构性,,106.03.14,Remington,2023-01-17
5452798,stereoselectivity,立体选择性,,102.07.16,中华无菌制剂协会,2023-01-17
5452799,stereospecificity,立体专一性,,102.07.16,中华无菌制剂协会,2023-01-17
5452800,steric effect,立体效应,,102.07.16,中华无菌制剂协会,2023-01-17
5452801,steric hindrance,立体障碍,,102.07.16,中华无菌制剂协会,2023-01-17
5452802,sterilants,灭菌剂,,104.02.26,GMP,2023-01-17
5452803,sterile,无菌的,,102.11.06,nan,2023-01-17
5452804,"sterile eye, ear and nose solutions",无菌眼耳鼻用液剂,,102.11.06,药品剂型分类草案,2023-01-17
5452805,"sterile eye, ear and nose suspensions",无菌眼耳鼻用悬液剂,,102.11.06,药品剂型分类草案,2023-01-17
5452806,sterile powder for injection,注射用无菌粉末,,102.07.16,中华无菌制剂协会,2023-01-17
5452807,sterile powder for parenteral suspension,注射悬液用无菌粉末,,102.07.16,中华无菌制剂协会,2023-01-17
5452808,sterile preparation,无菌制剂,,102.07.16,nan,2023-01-17
5452809,sterile product,无菌制品；无菌产品,,102.07.16,中华无菌制剂协会,2023-01-17
5452810,sterile purified water,无菌纯净水,,102.12.05,中华药典,2023-01-17
5452811,sterile room,无菌室,,102.07.16,中华无菌制剂协会,2023-01-17
5452812,sterile water for injection,无菌注射用水,,102.12.05,中华药典,2023-01-17
5452813,sterile water for irrigation,无菌灌洗用水,,102.12.05,中华药典,2023-01-17
5452814,sterilising grade filter,除菌级滤器,,104.02.26,GMP,2023-01-17
5452815,sterility,无菌性；无菌,,102.07.16,中华无菌制剂协会,2023-01-17
5452816,sterility assurance level {=SAL},无菌性保证层级,,104.02.26,GMP,2023-01-17
5452817,sterility test,无菌试验,,106.08.15,Remington,2023-01-17
5452818,sterilization,灭菌,,102.07.16,中华无菌制剂协会,2023-01-17
5452819,sterilization in place {=SIP},原位灭菌,,104.02.26,GMP,2023-01-17
5452820,sterilized,已灭菌的,,102.11.06,国立编译馆,2023-01-17
5452821,sterilizer,灭菌器,,106.03.14,Remington,2023-01-17
5452822,sterilizing filter,滤菌器；除菌过滤器,,104.02.26,GMP,2023-01-17
5452823,steroid,类固醇,,106.03.14,Remington,2023-01-17
5452824,sterols,固醇类,,106.03.14,Remington,2023-01-17
5452825,stick,棒剂,,102.07.16,中华无菌制剂协会,2023-01-17
5452826,stilbene,二苯乙烯；茋,,102.07.16,中华无菌制剂协会,2023-01-17
5452827,stills,蒸馏器,,106.03.14,Remington,2023-01-17
5452828,stimulants,兴奋剂,,102.07.16,中华无菌制剂协会,2023-01-17
5452829,stimulation,兴奋,,102.07.16,中华无菌制剂协会,2023-01-17
5452830,stock solution,储备液,,106.03.14,Remington,2023-01-17
5452831,stoichiometry,化学计量法,,106.03.14,Remington,2023-01-17
5452832,stomachics,健胃剂,,102.07.16,中华无菌制剂协会,2023-01-17
5452833,stomata,气孔,,102.07.16,中华无菌制剂协会,2023-01-17
5452834,stone cell,石细胞,,102.07.16,中华无菌制剂协会,2023-01-17
5452835,stopper,瓶塞；塞,,102.04.18,nan,2023-01-17
5452836,storage,贮藏；贮存,,102.07.16,中华无菌制剂协会,2023-01-17
5452837,storax {Styrax},苏合香,,103.09.11,中医药,2023-01-17
5452838,strain identification,菌种鉴别,,102.07.16,中华无菌制剂协会,2023-01-17
5452839,strain improvement,菌种改良,,102.07.16,中华无菌制剂协会,2023-01-17
5452840,stramonium,曼陀罗,,102.11.06,国立编译馆,2023-01-17
5452841,stratification,层化；积层,,106.03.14,Remington,2023-01-17
5452842,stratum corneum,角质层,,106.03.14,Remington,2023-01-17
5452843,stray light,迷光,,102.11.06,pics-gmp,2023-01-17
5452844,streak cultivation,划线培养,,102.07.16,中华无菌制剂协会,2023-01-17
5452845,"strength, weakness, opportunity, threat {=SWOT} analysis",SWOT分析,,106.04.11,Remington,2023-01-17
5452846,streptogramins,链阳性菌素类,,106.03.14,Remington,2023-01-17
5452847,Streptomyces,链丝菌属,,102.07.16,中华无菌制剂协会,2023-01-17
5452849,stress testing,虐待试验；苛酷试验,,104.02.26,GMP,2023-01-17
5452850,striation,条纹；纹理,,102.07.16,中华无菌制剂协会,2023-01-17
5452851,strontium {=Sr},锶,,106.03.14,Remington,2023-01-17
5452852,strontium {89Sr} chloride,氯化锶 (89Sr),,102.08.13,中华无菌制剂协会：新药,2023-01-17
5452853,strophanthin,毒毛旋花子苷,,102.07.16,中华无菌制剂协会,2023-01-17
5452854,strophanthin-G,毒毛旋花子苷-G,,102.12.05,中华药典,2023-01-17
5452855,strophanthus,毒毛旋花子,,102.11.06,国立编译馆,2023-01-17
5452856,structural alert for mutagenicity,诱突变结构警示,,106.11.09,ICH M7,2023-01-17
5452857,structured vehicles,结构性载体,,106.03.14,Remington,2023-01-17
5452858,strychnine,番木鼈碱,,102.12.05,中华药典,2023-01-17
5452859,Student t-test {=t-test},t-试验,,103.01.16,中华无菌制剂协会,2023-01-17
5452860,study design,研究设计,,106.03.14,Remington,2023-01-17
5452861,study evaluation criteria,研究评估基准,,106.03.14,Remington,2023-01-17
5452862,study product,研究用药,,104.06.11,GCP,2023-01-17
5452863,styloid crystal,柱晶,,102.07.16,中华无菌制剂协会,2023-01-17
5452864,styptics,止血剂,,106.04.11,Remington,2023-01-17
5452865,styrene,苯乙烯,,108.04.25,nan,2023-01-17
5452866,styrene–divinylbenzene copolymer,苯乙烯–二乙烯苯共聚物,,108.04.25,nan,2023-01-17
5452867,styrene-para-divinylbenzene,苯乙烯–对二乙烯苯共聚物,,108.04.25,nan,2023-01-17
5452868,subacute toxicity,亚急性毒性,,102.07.16,中华无菌制剂协会,2023-01-17
5452869,sub-coat,底衣层,,102.07.16,中华无菌制剂协会,2023-01-17
5452870,subconjunctival,结膜下,,106.04.11,Remington,2023-01-17
5452871,subculture,继代培养,,104.02.26,GMP,2023-01-17
5452872,subcutaneous {=s.c.},皮下的,,102.07.16,中华无菌制剂协会,2023-01-17
5452873,subcutaneous injection,皮下注射,,101.03.08,nan,2023-01-17
5452874,suberic acid,栓酸；辛二酸,,102.11.06,国立编译馆,2023-01-17
