ID,英文名稱,中文名稱,圖片,審譯日期,更新日期
6255896,radiation sensitivity,辐射敏感度；辐射敏感性,,,2020-01-07
6255897,radiation sensitizer,放射增敏剂,,,2020-01-07
6255898,radiation survey meter,辐射侦检计；辐射测量计；辐射侦测仪,,,2020-01-07
6255899,radiation therapy,放射(线)治疗,,,2020-01-07
6255900,Radiation Therapy Oncology Group　{=RTOG},美国放射肿瘤研究群,,,2020-01-07
6255901,radiation weighting factor {=WR},辐射加权因数,,,2020-01-07
6255902,radiation-induced liver disease {=RILD},放射诱导肝病变,,,2020-01-07
6255903,radioactive colloid,放射性胶体,,,2020-01-07
6255904,radioactive isotope {=RI},放射性同位素,,,2020-01-07
6255905,radioactive isotope angiography,放射性同位素血管摄影(术),,,2020-01-07
6255906,radioactive nuclide,放射性核种,,,2020-01-07
6255907,radioactive substance,放射性物质,,,2020-01-07
6255908,radioactive waste,放射性废弃物,,,2020-01-07
6255909,radioactivity,放射活性,,,2020-01-07
6255910,radiobinding assay {=RBA},放射结合分析,,,2020-01-07
6255911,radiobiology,辐射生物学,,,2020-01-07
6255912,radiochemical analysis,放化分析；放射化学分析,,,2020-01-07
6255913,radiochemical purity,放化纯度；放射化学纯度,,,2020-01-07
6255914,radiochemistry,放射化学,,,2020-01-07
6255915,radiodiagnostic agent,放射性诊断剂,,,2020-01-07
6255916,radiofrequency {=RF},射频,,,2020-01-07
6255917,radio-gas chromatography,放射性气体层析法,,,2020-01-07
6255918,radioimmunoassay {=RIA},放射免疫分析,,,2020-01-07
6255919,radioimmunology,放射免疫学,,,2020-01-07
6255920,radioiodinated serum albumin {=RISA},放射性碘化血清白蛋白,,,2020-01-07
6255921,radioiodine uptake,放射性碘摄取,,,2020-01-07
6255922,radioisotope {=RI},放射性同位素,,,2020-01-07
6255923,radioisotope generator,放射性同位素发生器；放射性同位素孳生器,,,2020-01-07
6255924,radiolabeled probe,放射性标志探针,,,2020-01-07
6255925,radioligand binding assay,放射配体结合分析,,,2020-01-07
6255926,radiological technologist,医事放射师,,,2020-01-07
6255927,radiologist,放射科医师；放射线科医师,,,2020-01-07
6255928,radiology,放射线学,,,2020-01-07
6255929,radiolucency; radiolucent,放射线可透性,,,2020-01-07
6255930,radiolysis,辐射分解,,,2020-01-07
6255931,radionecrosis,放射性坏死,,,2020-01-07
6255932,radionuclide,放射性核种,,,2020-01-07
6255933,radionuclide computed tomography {=RCT},放射性核种；核素电脑断层造影,,,2020-01-07
6255934,radionuclide dose callibrator,放射性剂量校正器,,,2020-01-07
6255935,radionuclide generator,放射性核种产生器,,,2020-01-07
6255936,radionuclide purity,放射性核种纯度,,,2020-01-07
6255937,radionuclide therapy,放射性核种治疗,,,2020-01-07
6255938,radionuclide ventriculography {=RNV},放射性同位素脑室摄影,,,2020-01-07
6255939,radiopacity; radiopaque,放射线不透性,,,2020-01-07
6255940,radiopharmaceutical,放射性药品,,,2020-01-07
6255941,radiopharmacy,放射性药物学,,,2020-01-07
6255942,radio-photoluminescence glass dosimeter {=RPLGD},放射光发光玻璃剂量器(计),,,2020-01-07
6255943,radioprotector,辐射保护剂；放射保护剂,,,2020-01-07
6255944,radioresistance,放射抗性,,,2020-01-07
6255945,radioresponsiveness,放射反应性,,,2020-01-07
6255946,radiosensitivity,辐射敏感性；放射敏感性,,,2020-01-07
6255947,radiosensitizer,放射増敏剂,,,2020-01-07
6255948,radiotherapy,放射治疗,,,2020-01-07
6255949,radiotracer,放射性示踪剂,,,2020-01-07
6255950,radioulnar dissociation,尺桡关节松弛,,,2020-01-07
6255951,radioulnar instability,尺桡关节不稳症,,,2020-01-07
6255952,radioulnar projection,桡尺位投影,,,2020-01-07
6255953,radium {=Ra},镭,,,2020-01-07
6255954,radon {=Rn},氡,,,2020-01-07
6255955,range,射程；范围,,,2020-01-07
6255956,Rasmussen encephalitis,Rasmussen氏脑炎,,,2020-01-07
6255957,reaction cross section,反应截面,,,2020-01-07
6255958,reactive arthritis,反应性关节,,,2020-01-07
6255959,recessive,隐性,,,2020-01-07
6255960,recombinant thyroid-stimulating hormone {=rhTSH-Tg},基因重组人工甲促素,,,2020-01-07
6255961,recovery,回收(率)；回复,,,2020-01-07
6255962,rectilinear scan,直线扫描,,,2020-01-07
6255963,rectilinear scanner,直线扫描器,,,2020-01-07
6255964,recurrence,复发,,,2020-01-07
6255965,redistribution,再分布,,,2020-01-07
6255966,region of interest {=ROI},感兴趣区域,,,2020-01-07
6255967,Reiter's syndrome,Reiter氏症候群,,,2020-01-07
6255968,relapse,复发；再发,,,2020-01-07
6255969,relative absorption coefficient,相对吸收系数,,,2020-01-07
6255970,relative biological effectiveness {=RBE},相对生物效应,,,2020-01-07
6255971,relaxation,松弛,,,2020-01-07
6255972,relaxation time,松弛时间,,,2020-01-07
6255973,rem,仑目,,,2020-01-07
6255974,REM {roentgen equivalent man},仑目{辐射剂量单位},,,2020-01-07
6255975,remission,缓解,,,2020-01-07
6255976,remote afterloading brachytherapy,遥控后荷式近接[放射]治疗,,,2020-01-07
6255977,renal tubule,肾小管,,,2020-01-07
6255978,renin-angiotensin system,肾素-血管紧缩素系统,,,2020-01-07
6255979,renogram,肾脏摄影,,,2020-01-07
6255980,renography,肾脏摄影,,,2020-01-07
6255981,reoxygenation,再氧化,,,2020-01-07
6255982,repair,修复,,,2020-01-07
6255983,repopulation,再增生,,,2020-01-07
6255984,reproducibility,再现性,,,2020-01-07
6255985,resolution,解析度,,,2020-01-07
6255986,resolving hematoma,吸收中的血肿,,,2020-01-07
6255987,resonance frequency,共振频率,,,2020-01-07
6255988,respiratory distress syndrome {=RDS},呼吸窘迫症候群,,,2020-01-07
6255989,respiratory-gated,呼吸门控,,,2020-01-07
6255990,restricted area,管制区,,,2020-01-07
6255991,retention time,滞留时间,,,2020-01-07
6255992,reticuloendothelial cell,网状内皮细胞,,,2020-01-07
6255993,retrocardiac area,心脏后方,,,2020-01-07
6255994,retrograde pyelography,逆行性肾盂摄影,,,2020-01-07
6255995,retrolisthesis,脊椎后滑脱,,,2020-01-07
6255996,retrosternal space,胸骨后区,,,2020-01-07
6255997,reverse Bankart lesion,反班卡式损伤,,,2020-01-07
6255998,revese Hill-Sachs lesion,反希尔沙克损伤,,,2020-01-07
6255999,rhabdomyosarcoma,横纹肌肉瘤,,,2020-01-07
6256000,rheumatoid arthritis,类风湿性关节炎,,,2020-01-07
6256001,rhinorrhea,鼻漏,,,2020-01-07
6256002,ribs,肋骨,,,2020-01-07
6256003,right,右侧,,,2020-01-07
6256004,right anterior oblique (RAO) position,右前斜摆位,,,2020-01-07
6256005,right decubitus position,右侧卧摆位,,,2020-01-07
6256006,right heart border,右心缘,,,2020-01-07
6256007,right lateral,右侧面,,,2020-01-07
6256008,right lower lobe {=RLL},右下肺叶,,,2020-01-07
6256009,right middle lobe {=RML},右中肺叶,,,2020-01-07
6256010,right posterior oblique (RPO) position,右后斜摆位,,,2020-01-07
6256011,right upper lobe {=RUL},右上肺叶,,,2020-01-07
6256012,Roentgen {=R},仑琴,,,2020-01-07
6256013,roentgen equivalent physical {=REP},物理仑琴当量,,,2020-01-07
6256014,roentgen ray,仑琴射线 (X光),,,2020-01-07
6256015,roentgen to rad conversion factor,仑琴雷德转换(换算)系数,,,2020-01-07
6256016,rotating anode X-ray tube,旋转阳极X光管,,,2020-01-07
6256017,saber shin,军刀状胫,,,2020-01-07
6256018,sacral lumbarization,荐椎腰椎化,,,2020-01-07
6256019,sagittal image,矢状像,,,2020-01-07
6256020,sagittal plane,矢状面,,,2020-01-07
6256021,Salter Harris classification,骨骺损伤分类,,,2020-01-07
6256022,Sanfilippo,Sanfilippo氏病,,,2020-01-07
6256023,sarcoma,肉瘤,,,2020-01-07
6256024,scan,扫描,,,2020-01-07
6256025,scatter radiation,散射辐射,,,2020-01-07
6256026,scattered radiation,散射辐射,,,2020-01-07
6256027,schizencephaly,裂脑症,,,2020-01-07
6256028,Schmorl node,Schmorl结节,,,2020-01-07
6256029,Schmorl's node,Schmorl氏结节,,,2020-01-07
6256030,scintigraphy,闪烁摄影,,,2020-01-07
6256031,scintilation counter,闪烁计数器,,,2020-01-07
6256032,scintillation camera,闪烁摄影仪,,,2020-01-07
6256033,scintillation dosimeters,闪烁剂量计,,,2020-01-07
6256034,scintillation scanner,闪烁扫描器,,,2020-01-07
6256035,scintillation surveymeter,闪烁勘检器,,,2020-01-07
6256036,scintillator,闪烁体,,,2020-01-07
6256037,scleroderma,硬皮病,,,2020-01-07
6256038,scout view,探查性视图,,,2020-01-07
6256039,scurvy,坏血病,,,2020-01-07
6256040,secondary cancer,次发性肿瘤,,,2020-01-07
6256041,secondary ossification center,次级骨化中心,,,2020-01-07
6256042,Seldinger method,Seldinger法,,,2020-01-07
6256043,selective angiography,选择性血管摄影(术),,,2020-01-07
6256044,selective excitation pulse {=SEP},选择性激发脉冲,,,2020-01-07
6256045,selective hypotonic duodenography,选择性低张十二指肠摄影,,,2020-01-07
6256046,semiconductor dosimeters,半导体剂量计,,,2020-01-07
6256047,sentinel lymph node {=SLN},前哨淋巴结,,,2020-01-07
6256048,septa,中隔,,,2020-01-07
6256049,septo-optic dysplasia,脑室中隔缺损合并视神经发育不全,,,2020-01-07
6256050,sequestrated disk,椎间盘断离,,,2020-01-07
6256051,sequestrum,坏骨片,,,2020-01-07
6256052,seronegative arthritis,血清反应阴性关节炎,,,2020-01-07
6256053,seronegative spondyloarthropathy,血清阴性脊椎关节病变,,,2020-01-07
6256054,shaking baby syndrome,婴儿摇晃症候群,,,2020-01-07
6256055,shallow-dose equivalent,浅部等效剂量,,,2020-01-07
6256056,shelf life,保存期限,,,2020-01-07
6256057,Shenton's line,Shenton氏线,,,2020-01-07
6256058,shielding,屏蔽,,,2020-01-07
6256059,shielding method,屏蔽法,,,2020-01-07
6256060,shimming,优化填补,,,2020-01-07
6256061,shoulder instability,肩关节不稳定,,,2020-01-07
6256062,sialography,唾液腺摄影,,,2020-01-07
6256063,sialoscintigraphy,唾液腺闪烁摄影,,,2020-01-07
6256064,side effect,副作用,,,2020-01-07
6256065,siderophore,螯铁蛋白,,,2020-01-07
6256066,sievert {=Sv},西弗,,,2020-01-07
6256067,sign,征象,,,2020-01-07
6256068,signal intensity,讯号强度,,,2020-01-07
6256069,signal to noise ratio {=SNR},讯杂比；讯噪比,,,2020-01-07
6256070,silhouette sign,轮廓征象,,,2020-01-07
6256071,single channel pulse height analyzer,单频道脉高分析器,,,2020-01-07
6256072,single photon emission computed tomography {=SPECT},单光子射出电脑断层造影,,,2020-01-07
6256073,Single-Channel Analyzer {=SCA},单频道分析仪,,,2020-01-07
6256074,sinusoids,窦状隙,,,2020-01-07
6256075,skull base,颅底,,,2020-01-07
6256076,Smith fracture,Smith骨折,,,2020-01-07
6256077,solid phase (radio) immunoassay,固相放射免疫测定法,,,2020-01-07
6256078,somatostatin,体抑素,,,2020-01-07
6256079,somatostatin receptor scintigraphy,体抑素受体摄影,,,2020-01-07
6256080,somatostatin receptors {=SSTRs},体抑素受体,,,2020-01-07
6256081,sonography,超音波检查,,,2020-01-07
6256082,souce-tumor distance {=STD},射源肿瘤距离,,,2020-01-07
6256083,source-skin distance {=SSD},射源皮肤距离,,,2020-01-07
6256084,space charge,空间电荷,,,2020-01-07
6256085,sparganosis,动裂头绦虫症,,,2020-01-07
6256086,spatial resolution,空间解析度,,,2020-01-07
6256087,specific activity,比活性；比活度,,,2020-01-07
6256088,specific γ -ray constant,比伽玛[射线]常数,,,2020-01-07
6256089,spectrometer,分光计；光谱仪,,,2020-01-07
6256090,spin echo,自旋回波,,,2020-01-07
6256091,spin quantum number,自旋量子数,,,2020-01-07
6256092,spina bifida,脊柱裂,,,2020-01-07
6256093,spinal canal stenosis,椎管狭窄,,,2020-01-07
6256094,spinal muscular atrophy {=SMA},脊髓性肌肉萎缩症,,,2020-01-07
6256095,spine metastasis,脊柱转移,,,2020-01-07
6256096,spin-lattice relaxation time,自旋-晶格松弛时间,,,2020-01-07
6256097,spin-spin relaxation time,自旋-自旋松弛时间,,,2020-01-07
6256098,spleen scintigraphy,脾臓闪烁摄影,,,2020-01-07
6256099,splenic flexure,结肠脾弯；脾曲,,,2020-01-07
6256100,spondylitis,椎体炎,,,2020-01-07
6256101,spondylodiscitis,脊椎间盘炎,,,2020-01-07
6256102,spondyloepiphyseal dysplasia {=SED},脊椎骨骺发育不全,,,2020-01-07
6256103,spondylolisthesis,脊椎滑脱,,,2020-01-07
6256104,spondylolysis,椎弓断裂,,,2020-01-07
6256105,spondylolytic spondylolisthesis,椎弓断裂性的脊椎滑脱,,,2020-01-07
6256106,spontaneous fission,自发分裂,,,2020-01-07
6256107,stage,分期,,,2020-01-07
6256108,standard curve,标准曲线,,,2020-01-07
6256109,standing abdomen,站立腹部摄影,,,2020-01-07
6256110,standing position,直立摆位,,,2020-01-07
6256111,static magnetic fields,静磁场,,,2020-01-07
6256112,stationary anode X-ray tube,固定阳极形X光管,,,2020-01-07
6256113,stem cells,干细胞,,,2020-01-07
6256114,Still disease,Still氏病,,,2020-01-07
6256115,stochastic effects,机率效应,,,2020-01-07
6256116,stomach bubble,胃气泡,,,2020-01-07
6256117,stopping power,阻挡本领,,,2020-01-07
6256118,stress fracture,应力性骨折,,,2020-01-07
6256119,Strontium 90,锶-90 {=90Sr},,,2020-01-07
6256120,stunning phenomenon,击晕现象,,,2020-01-07
6256121,subacute sclerosing panencephalitis {=SSPE},亚急性硬化性泛脑炎,,,2020-01-07
6256122,subarachnoid hemorrhage {=SAH},蜘蛛膜下出血,,,2020-01-07
6256123,subcortical arteriosclerotic encephalopathy {=SAE},皮质下动脉硬化性脑病变,,,2020-01-07
6256124,subcutaneous emphysema,皮下气肿,,,2020-01-07
6256125,subdiaphragm,横膈膜下,,,2020-01-07
6256126,subdural effusion,硬膜下积液,,,2020-01-07
6256127,subdural empyema,硬膜下蓄脓,,,2020-01-07
6256128,subdural hematoma,硬膜下血肿,,,2020-01-07
6256129,subependymal giant cell astrocytoma {=SEGA},室管膜下巨细胞星状瘤,,,2020-01-07
6256130,subfalcine herniation,大脑镰下脑疝脱,,,2020-01-07
6256131,sublethal dose,亚致死剂量,,,2020-01-07
6256132,subluxation,半脱位,,,2020-01-07
6256133,subperioteal absccess,骨膜下脓疡,,,2020-01-07
6256134,subpulmonic,肺下的；肺底的,,,2020-01-07
6256135,subtraction,减影,,,2020-01-07
6256136,superior accessory fissure,上副裂隙,,,2020-01-07
6256137,superior vena cava,上腔静脉,,,2020-01-07
6256138,superior vena cavography,上腔静脉摄影(术),,,2020-01-07
6256139,superscan,超级骨扫描,,,2020-01-07
6256140,superselective angiography,超选择性血管摄影(术),,,2020-01-07
6256141,supination,外旋,,,2020-01-07
6256142,supine position,仰卧摆位,,,2020-01-07
6256143,supine view,仰卧影像,,,2020-01-07
6256144,surface dose,表面剂量,,,2020-01-07
6256145,survey meter,侦测仪,,,2020-01-07
6256146,surveymeter,勘检器,,,2020-01-07
6256147,survival curve,存活曲线,,,2020-01-07
6256148,survival rate,存活率,,,2020-01-07
6256149,synchronous multicentric osteosarcoma,同存多中心骨肉瘤,,,2020-01-07
6256150,synchrotron,同步加速器,,,2020-01-07
6256151,synovitis,滑膜炎,,,2020-01-07
6256152,syringomyelia {syrinx},脊髓空洞症,,,2020-01-07
6256153,systemic lupus erythematosus {=SLE},全身性红斑狼疮,,,2020-01-07
6256154,tandem applicator,串联装疗器,,,2020-01-07
6256155,tangential fields,相切照野,,,2020-01-07
6256156,tangential irradiation,相切照射；切线照射,,,2020-01-07
6256157,target,靶,,,2020-01-07
6256158,target body,靶体,,,2020-01-07
6256159,target materials,靶材,,,2020-01-07
6256160,targeted radionuclide therapy,放射性核种标靶治疗,,,2020-01-07
6256161,TB meningitis,结核性脑膜炎,,,2020-01-07
6256162,TB spondylodiscitis {=TB spine},结核性脊椎炎,,,2020-01-07
6256163,Tc-99m methyl diphosphonate {=Tc-99m MDP},𨱏-99m甲基双磷酸盐,,,2020-01-07
6256164,Technecium 99m-DTPA,𨱏99m-DTPA,,,2020-01-07
6256165,Technegas generator,𨱏气产生器；孳生器,,,2020-01-07
6256166,teleradiotherapy,远隔放射治疗,,,2020-01-07
6256167,teletherapy,远隔治疗,,,2020-01-07
6256168,templates,模版,,,2020-01-07
6256169,temporal resolution,时间解析度,,,2020-01-07
6256170,tension pneumothorax,张力性气胸,,,2020-01-07
6256171,teratoma,畸胎瘤,,,2020-01-07
6256172,terminal steam sterilization,终端蒸气灭菌,,,2020-01-07
6256173,tethered cord,脊髓粘连,,,2020-01-07
6256174,The American Association of Physicists in Medicine (AAPM),美国医学物理学会,,,2020-01-07
6256175,thermal neutron,热中子,,,2020-01-07
6256176,thermal neutron therapy,热中子治疗,,,2020-01-07
6256177,thermal relaxation time,热松弛时间,,,2020-01-07
6256178,thermoluminescence,热萤光,,,2020-01-07
6256179,thermoluminescence dosimeter,热萤光剂量计,,,2020-01-07
6256180,thermoluminescence dosimeter {=TLD},热发光剂量计：热萤光剂量计,,,2020-01-07
6256181,thermoluminescent dosimeter {=TLD},热发光剂量计,,,2020-01-07
6256182,thin-layer chromatography {=TLC},薄层层析法,,,2020-01-07
6256183,Thomson scattering,汤姆森散射,,,2020-01-07
6256184,three-dimensional view,三维影像,,,2020-01-07
6256185,threshold,阈值,,,2020-01-07
6256186,threshold dose,阈值剂量,,,2020-01-07
6256187,Thromboangiitis obliterans {=TAO},血栓闭塞性脉管炎,,,2020-01-07
6256188,thyroglobulin {=Tg},甲状腺球蛋白,,,2020-01-07
6256189,thyroid scan,甲状腺扫描,,,2020-01-07
6256190,thyroid scintigraphy,甲状腺闪烁摄影,,,2020-01-07
6256191,thyroid uptake,甲状腺摄取,,,2020-01-07
6256192,thyroid-stimulating hormone {=TSH},促甲状腺激素,,,2020-01-07
6256193,thyrotropin,促甲状腺素,,,2020-01-07
6256194,thyroxine {=T4},甲状腺素,,,2020-01-07
6256195,thyroxine-binding globulin {=TBG},甲状腺素结合球蛋白,,,2020-01-07
6256196,time activity curve,时间活性曲线,,,2020-01-07
6256197,time constant,时间常数,,,2020-01-07
6256198,time factor,时间因子,,,2020-01-07
6256199,tissue compensating filter,组织补偿滤器,,,2020-01-07
6256200,tissue dose,组织剂量,,,2020-01-07
6256201,tissue equivalent ionization chamber,组织等价游离腔,,,2020-01-07
6256202,tissue equivatlent material,组织等价物质,,,2020-01-07
6256203,tissue weighting factor {=WT},组织加权因数,,,2020-01-07
6256204,tissuse-air ratio {=TAR},组织空气比,,,2020-01-07
6256205,tolerance dose,耐受剂量,,,2020-01-07
6256206,Tolosa-Hunt syndrome {painful ophthalmoplegia syndrome},Tolosa-Hunt症候群{痛性眼肌麻痹症候群},,,2020-01-07
6256207,tonsilar herniation,小脑扁桃体疝脱,,,2020-01-07
6256208,topogram,探查性视图,,,2020-01-07
6256209,total attenuation coefficient,总衰减系数,,,2020-01-07
6256210,total body irradiation {=TBI},全身照射,,,2020-01-07
6256211,total effective dose equivalent {=TEDE},总有效等效剂量,,,2020-01-07
6256212,total iron-binding capcity {=TIBC},总铁结合能力/容量,,,2020-01-07
6256213,total mass attenuation coefficient,总质量衰减系数,,,2020-01-07
6256214,Towne view,Towne像{后颅窝正面像},,,2020-01-07
6256215,toxic demyelination,毒性髓鞘脱失,,,2020-01-07
6256216,toxic encephalopathy,中毒性脑病变,,,2020-01-07
6256217,toxoplasmosis,弓虫症,,,2020-01-07
6256218,tracer,示踪剂,,,2020-01-07
6256219,tracheostomy,气管造口术,,,2020-01-07
6256220,transcatheter arterial embolization {=TAE},经导管动脉栓塞术,,,2020-01-07
6256221,transferrin,运铁蛋白,,,2020-01-07
6256222,transforming growth factor alpha {=TGF-α},转化生长因子α,,,2020-01-07
6256223,transforming growth factor beta {=TGF-β},转化生长因子β,,,2020-01-07
6256224,transient equilibrium,过渡平衡,,,2020-01-07
6256225,transit time,通过时间,,,2020-01-07
6256226,translation,转译,,,2020-01-07
6256227,translocation,易位,,,2020-01-07
6256228,transmethylation,转甲基化,,,2020-01-07
6256229,transmission,传送/传输,,,2020-01-07
6256230,transport index {=TI},运输指数,,,2020-01-07
6256231,transscaphoid perilunate dislocation,经舟骨月骨周围脱位,,,2020-01-07
6256232,transtentorial herniation,小脑幕脑疝脱,,,2020-01-07
6256233,transverse plane,横断面,,,2020-01-07
6256234,transverse relaxation time,横向松弛时间,,,2020-01-07
6256235,trapping phenomenon,捕捉/捕获现象,,,2020-01-07
6256236,treatment applicator,治疗装疗器,,,2020-01-07
6256237,treatment planning system {=TPS},治疗计划系统,,,2020-01-07
6256238,triangular fibrocartilage,三角纤维软骨,,,2020-01-07
6256239,Trigger delay,延迟触发,,,2020-01-07
6256240,triiodothyroxine {=T3},三碘甲状腺素,,,2020-01-07
6256241,trismus,牙关紧闭,,,2020-01-07
6256242,Trummerfeld space,Trummerfeld氏带,,,2020-01-07
6256243,TSH-releasing hormone {=TRH},促甲状腺素释素,,,2020-01-07
6256244,tube current,管电流,,,2020-01-07
6256245,tube voltage,管电压,,,2020-01-07
6256246,tuberculoma,结核瘤,,,2020-01-07
6256247,tuberculosis,结核,,,2020-01-07
6256248,tuberous sclerosis,结节性硬化症,,,2020-01-07
6256249,tumor,肿瘤,,,2020-01-07
6256250,tumor control dose,肿瘤控制剂量,,,2020-01-07
6256251,tumor necrosis factor {=TNF},肿瘤坏死因子,,,2020-01-07
6256252,tumor scintigraphy,肿瘤闪烁摄影,,,2020-01-07
6256253,tumor suppressor gene,抑癌基因/肿瘤抑制基因,,,2020-01-07
6256254,tumoral calcinosis,肿瘤样钙化,,,2020-01-07
6256255,Tungsten,钨,,,2020-01-07
6256256,tungsten filament,钨丝,,,2020-01-07
6256257,tyrosine,酪胺酸,,,2020-01-07
6256258,U.S. Pharmacopeia {=USP},美国药典,,,2020-01-07
6256259,European Pharmacopoeia,欧洲药典,,,2020-01-07
6256260,ulnar impingement syndrome,尺骨撞击综合征,,,2020-01-07
6256261,ultraselective angiography,极选择性血管摄影(术),,,2020-01-07
6256262,ultrasonography,超音波扫描术；超音波扫描检查,,,2020-01-07
6256263,ultrasound,超音波,,,2020-01-07
6256264,uncal herniation,钩回疝脱,,,2020-01-07
6256265,unit dose,单一剂量,,,2020-01-07
6256266,unknown primary tumor {=UPT},原发部位不明肿瘤,,,2020-01-07
6256267,unrestricted area,非管制区,,,2020-01-07
6256268,uptake,吸收/摄取,,,2020-01-07
6256269,uptake ratio,摄取率,,,2020-01-07
6256270,uracil,尿嘧啶,,,2020-01-07
6256271,uremic encephalopathy,尿毒性脑病变,,,2020-01-07
6256272,urethrography,尿道摄影(术),,,2020-01-07
6256273,UV monitor,紫外线监测器,,,2020-01-07
6256274,vaccum phenomenon,真空现象,,,2020-01-07
6256275,valence,价,,,2020-01-07
6256276,valence electron,价电子,,,2020-01-07
6256277,valence shell,价壳/价层,,,2020-01-07
6256278,varicella encephalitis,水痘脑炎,,,2020-01-07
6256279,vascular endothelial growth factor {=VEGF},血管内皮生长因子,,,2020-01-07
6256280,vasography,精管摄影(术),,,2020-01-07
6256281,vaso-vesiculography,精管精囊摄影(术),,,2020-01-07
6256282,venous infarction,静脉梗塞,,,2020-01-07
6256283,venous malformation,静脉畸形,,,2020-01-07
6256284,ventilation,换气/通气,,,2020-01-07
6256285,ventilation perfusion ratio {VP ratio},通气灌流比,,,2020-01-07
6256286,ventricular peritoneal shunt {=VP shunt} patency study,脑室腹腔分流通畅检查,,,2020-01-07
6256287,ventriculomegaly,脑室扩大,,,2020-01-07
6256288,ventriculoperitoneal shunt {V-P shunt},脑室腹腔分流术,,,2020-01-07
6256289,vertebral compression fracture,椎体压迫骨折,,,2020-01-07
6256290,viral thymidine kinase,病毒胸苷激酶,,,2020-01-07
6256291,visceral,臓层,,,2020-01-07
6256292,visceral pleura,臓层肋膜,,,2020-01-07
6256293,visceral peritoneum,脏层腹膜,,,2020-01-07
6256294,volume effect,体积效应,,,2020-01-07
6256295,volume loss,容积减少,,,2020-01-07
6256296,Voorhoeve disease,福尔胡弗症,,,2020-01-07
6256297,washin,灌入,,,2020-01-07
6256298,washout,流出,,,2020-01-07
6256299,water equivalent,水等效,,,2020-01-07
6256300,Water's view,瓦特氏(颅骨)像,,,2020-01-07
6256301,wavelength,波长,,,2020-01-07
6256302,wedge filter,楔形滤器,,,2020-01-07
6256303,well counter,井型计数器,,,2020-01-07
6256304,Western blot method,西方墨点法,,,2020-01-07
6256305,white matter edema,白质水肿,,,2020-01-07
6256306,white matter hyperintensity,脑白质白斑,,,2020-01-07
6256307,whole-body imaging,全身造影,,,2020-01-07
6256308,wild type,野生型,,,2020-01-07
6256309,Willis' circle (cerebral arterial circle),威利氏环(大脑动脉环),,,2020-01-07
6256310,Wilson's disease,威尔森氏病,,,2020-01-07
6256311,Wimberger ring,温伯格环,,,2020-01-07
6256312,window level,窗值；窗位,,,2020-01-07
6256313,window width,窗幅；窗宽,,,2020-01-07
6256314,woven bone,编织骨,,,2020-01-07
6256315,xanthoma,腱性黄瘤,,,2020-01-07
6256316,xerostomia,口干症,,,2020-01-07
6256317,X-linked adrenoleukodystrophy,肾上腺脑白质失养症,,,2020-01-07
6256318,X-ray,X光；X射线,,,2020-01-07
6256319,X-ray high voltage generator,X光高压产生器,,,2020-01-07
6256320,X-ray simulator,光模拟定位仪,,,2020-01-07
6256321,X-ray tube,X光管,,,2020-01-07
6256322,Y-90 glass microspheres,钇-90玻璃微球体,,,2020-01-07
6256323,Y-90 resin microspheres,钇-90树脂微球体,,,2020-01-07
6256324,yield,产率,,,2020-01-07
6256325,young onset psoriatic arthritis,青少年发作性牛皮癣性关节炎,,,2020-01-07
6256326,young onset rheumatoid arthritis,青少年发作型类风湿性关节炎,,,2020-01-07
6256327,young stroke,年轻型中风,,,2020-01-07
6256328,yttrium-90,钇-90 {=90Y},,,2020-01-07
6256329,α particle,α粒子,,,2020-01-07
6256330,α ray,α射线,,,2020-01-07
6256331,α/β ratio,α/β比值,,,2020-01-07
6256332,β+decay,β+衰变,,,2020-01-07
6256333,β-decay,β-衰变,,,2020-01-07
6256334,β-galactosidase,半乳糖酶,,,2020-01-07
6256335,β-ray,β射线,,,2020-01-07
